"PARENTID","CHILDID"
617356,617339
619314,617582
619314,619297
619735,619513
619735,619727
619753,619693
619753,619740
621231,620472
621231,621226
622116,621764
622116,622111
622192,622143
622192,622185
627743,627540
627743,627713
628731,414294
628769,628689
628769,628743
630120,630115
630572,440338
630572,496007
630585,630238
630585,630547
631067,630895
631067,631004
637382,637291
637382,637374
640632,640413
640632,640602
641699,640309
641699,640549
641952,641528
641952,641946
642496,641614
642496,641693
642508,642416
642508,642462
642862,642546
642955,642546
643026,642546
643026,643021
643072,642379
643072,642975
643263,642897
643263,642997
643275,640866
643275,643271
644569,643827
644569,644553
644589,483942
644589,604853
645014,644106
645014,645007
646253,646191
646314,646246
646314,646304
646846,646191
646846,646541
646858,646838
646858,646853
646909,646864
646909,646897
646963,646509
646963,646955
647474,646483
647474,646981
648040,647927
648040,648037
648059,647912
648059,648007
648708,647942
648708,648505
650170,650115
650170,650126
650248,650160
650248,650243
650410,448053
650410,650407
650417,32620
650417,650414
650425,650174
650425,650422
650924,650874
650924,650922
651048,650977
651048,651046
651247,651180
651247,651245
651524,646191
651524,646541
651528,637036
651528,650041
652336,652246
652336,652333
652520,652441
652520,652515
652546,652211
652546,652538
652562,652218
652562,652458
652573,462669
652573,495595
653414,653341
653414,653411
653587,653498
653587,653582
653682,653608
653682,653678
653776,653690
653776,653771
653912,632228
653912,653907
653920,632233
653920,653910
654033,632228
654147,653807
654147,654141
654150,653810
654150,654143
654415,654412
654472,653783
654472,654469
654748,654712
654748,654741
654810,654696
654810,654807
654918,654726
654918,654914
655442,655043
655442,655116
655450,655395
655450,655444
655463,655398
655463,655460
655478,654657
655478,655473
655511,655214
655647,655086
655647,655643
655708,655660
655708,655704
655940,655859
655940,655936
655984,620528
655984,655967
655989,655688
655989,655971
656002,654945
656002,655999
656099,656078
656099,656094
656174,656134
656174,656164
656898,656838
656898,656894
657165,657135
657165,657161
657369,657319
657369,657366
657846,493244
657846,575363
657850,495076
657850,575346
657854,520980
657854,575197
657862,456945
657862,493962
657893,656157
657893,657889
658145,657881
658145,658142
658297,657413
658297,658291
658507,658277
658507,658390
658921,658670
658921,658918
659079,659010
659079,659076
659179,659056
659179,659174
659637,659489
659637,659634
659645,659481
659645,659642
660816,298840
660816,546888
661370,661315
661370,661367
661881,492075
661881,661878
661904,379639
661904,661897
662087,661765
662087,662084
662727,662515
662727,662722
662849,662707
662849,662846
663714,662613
663714,663516
663742,663394
663742,663728
663865,663525
663865,663855
664046,663836
664046,664021
665012,664827
665012,665004
665016,664687
665016,665009
666107,665976
666107,666032
666486,666228
666486,666481
666598,666441
666598,666594
667195,666662
667195,667192
667467,247951
667467,496007
667537,667433
667537,667521
667931,667844
667931,667926
668127,667570
668127,668123
668308,668240
668308,668303
669260,669184
669260,669256
669274,495615
669274,513956
669296,4079
669296,669287
669317,27801
669317,669308
669329,495375
669329,546860
669376,27854
669376,669366
669387,42229
669387,669381
669396,345178
669396,669391
669406,615465
669406,669401
669425,669412
669828,669653
669828,669678
669853,350731
669853,669849
669883,669311
669883,669905
669917,669441
669917,669912
669937,669313
669937,669930
669943,669322
669943,669940
670216,669612
670216,670185
670544,670318
670544,670539
672659,672565
672659,672653
673114,672495
673114,673086
673276,673187
673276,673248
673373,667802
673373,672680
673559,613581
673559,673555
673583,613604
673583,673581
673590,613586
673590,673587
673614,613592
673614,673610
673632,346741
673632,646978
674002,613601
674002,673999
674301,674205
674301,674299
674668,674312
674668,674322
675227,675076
675227,675217
676041,676014
676041,676038
676128,414294
676128,676125
676209,641899
676231,414278
676231,446398
676413,467288
676413,676410
676428,667242
676428,676417
676646,676498
676646,676626
677030,676912
677030,677023
677274,677037
677274,677267
677394,677178
677394,677384
677865,677669
677865,677856
678659,678109
678659,678643
678847,678729
678847,678842
679246,679186
679246,679242
679309,679257
679309,679306
679375,679339
679375,679369
679706,679653
679706,679683
679790,679740
679790,679781
679912,679827
679912,679858
680990,504593
680990,505680
682064,682006
682064,682061
682571,682059
682571,682568
682649,682605
682649,682646
682746,681866
682751,682149
682751,682452
683530,683444
683530,683526
683564,683114
683564,683561
683568,440322
683568,499195
684404,679843
684404,684396
684498,683329
684498,684495
684950,684781
684950,684946
685369,685060
685369,685355
685571,685002
685571,685563
686536,686465
686536,686531
687753,686006
687753,687739
688042,687868
688042,688037
688223,687834
688223,688026
688659,688543
688659,688654
690038,689246
690038,690031
690418,690285
690418,690377
690563,683282
690563,690559
690586,688680
690586,690582
690621,690381
690621,690614
690641,690366
690697,690601
690697,690637
690710,690176
690710,690706
690845,690366
690845,690644
692167,692111
692167,693073
692472,691948
692472,695148
692628,692324
692628,692622
693348,693208
693348,693344
693479,693401
693479,693477
693609,693389
693609,693603
695172,695058
695172,695154
695265,695223
695265,695263
695480,685301
695480,695431
695791,682397
695791,695217
695838,695364
695838,695472
696510,696251
696510,696508
696972,36643
696972,696966
697065,470352
697065,697055
697142,567893
697142,697139
697252,697196
697252,697247
697346,697219
697346,697325
697549,697396
697549,697544
697679,678398
697679,697673
697693,678405
697693,697684
697703,549400
697703,697699
697711,571894
697711,697708
698032,697981
698032,698028
698273,698036
698273,698269
698437,698366
698437,698408
698509,698479
698509,698507
698632,698466
698632,698629
699343,636966
699343,699339
699404,699386
699404,699401
699693,699589
699693,699689
699874,658040
699874,699792
700000,438931
700000,699996
700067,700056
700067,700059
700142,699781
700142,700139
700191,700092
700191,700184
700369,700211
700369,700366
700473,135921
700473,700470
700480,700477
700480,705654
701066,700857
701066,701021
701116,700945
701116,701109
701435,700924
701435,701426
701571,701479
701571,701562
701643,701372
701643,701638
701656,701535
701656,701650
702100,701760
702100,702091
702187,702026
702187,702183
702412,298270
702412,702407
702463,576111
702463,702450
702469,382077
702469,702456
702801,441324
702801,702784
702859,563519
702859,702813
702867,506978
702867,702864
702880,247411
702880,702875
702921,333316
702921,702898
702947,214060
702947,702941
702965,568031
702965,702954
702980,568074
702980,702977
703717,703691
703717,703711
704077,595647
704077,704069
704087,443525
704087,704083
704122,703920
704122,704115
704180,704045
704180,704106
704216,703148
704216,703813
704372,699508
704372,704354
704581,704422
704581,704570
705603,705426
705603,705596
705850,705772
705850,705843
706911,706736
706911,706905
707288,702307
707288,707277
707723,707234
707723,707720
707753,707704
707753,707750
707913,707835
707913,707910
707939,707916
707939,707933
708203,708142
708203,708200
708857,330790
708857,708853
708871,301737
708871,708866
708880,701808
708880,708877
708927,701805
708927,708924
708964,572949
708964,708956
708983,297236
708983,708980
709022,381755
709022,709014
709120,706193
709120,709117
709130,706195
709130,709127
709227,708936
709227,709221
709252,571932
709252,709249
709484,709439
709484,709476
709571,533183
709571,616284
709578,318649
709578,589704
709603,117372
709603,709597
709612,566313
709612,709609
709631,683624
709631,709625
709681,709590
709681,709657
709818,499617
709818,521448
709896,599114
709896,709882
710595,710387
710595,710589
710796,710658
710796,710793
711489,708104
711489,711477
712323,712000
712323,712314
712727,712603
712727,712698
712825,712265
712825,712821
713049,712888
713049,713044
713403,713054
713403,713395
714199,713078
714199,714179
714379,714360
714379,714376
714597,713555
714597,714577
714601,615467
714601,714574
715100,713412
715100,715089
715373,710503
715373,715354
715440,710505
715440,715404
715807,715737
715807,715796
715831,715655
715831,715821
716421,716190
716421,716407
716428,716160
716428,716407
716808,716747
716808,716800
718047,715222
718047,718036
718285,718159
718285,718281
718404,717840
718404,718392
718744,718357
718744,718740
718754,718603
718754,718750
718808,718324
718808,718797
718812,718326
718812,718803
718934,718302
718934,718315
719012,718586
719012,719008
719055,595281
719055,717070
719175,719153
719175,719167
