6261,"620782"
19075,"44206"
20093,"130638"
20181,"489044"
21211,"383878,686440"
25995,"642015,686440"
28826,"544379"
29013,"544379"
31284,"600338"
32620,"452772"
33256,"589489"
35629,"231052,341028"
36289,"209681"
36643,"592217"
37913,"592217"
45513,"539407,608887"
55174,"607539"
55180,"562687"
66363,"66434"
69281,"131528"
70184,"70092,70096,70098,70117,70122,70181,70170,70158,70144,70138,70136,70130,70127,70125,70120,70110"
82539,"82432"
89779,"583323"
89794,"542697"
90018,"611045"
91345,"555469,706923"
93900,"570913"
94026,"718089"
99435,"42394,675890,600703,330360,527956,98549"
100025,"607354"
100236,"42451"
102063,"556656"
103680,"556799,556812,556833,556837,610452,583534,556848,556846,556843,556841,556839,556835,556831"
103694,"610452"
103707,"556799"
103792,"244922,244924,244932"
103965,"667150"
105032,"533498"
105952,"105956"
107284,"99553"
111715,"42414,636947,297778"
111841,"586753"
114775,"114773"
119078,"695214"
119221,"695087,695089"
120662,"654431"
122213,"249690,290416"
122633,"666756"
122755,"666777"
122779,"688675"
122785,"587391"
123314,"614709"
123316,"611169"
123320,"666785"
127015,"473039"
127020,"581143,582011"
127201,"719343"
127203,"634197"
128200,"632117"
128863,"582857,583175"
128882,"625305"
128887,"625247"
134155,"584501"
136660,"622313"
136688,"622287"
136743,"141815"
136754,"623047"
137015,"623051"
137177,"650231"
141221,"284650,349827"
142664,"587672"
147031,"147029,334115"
149398,"571701"
161313,"613968"
164469,"571651"
166777,"349908"
166784,"284633,349951"
166788,"349919"
166841,"141695"
179159,"625338"
185754,"686247"
186130,"595248"
186151,"595243"
188990,"581878"
188997,"673778"
189326,"284782"
189339,"141447"
189347,"534560"
191175,"645960"
193637,"635305"
203955,"200688,200692,306156,702523,590908"
204271,"158966"
204277,"44206"
204281,"124813"
204284,"67544"
205420,"697146"
206227,"587228"
206251,"619459"
206358,"619464"
206862,"543410,543412,551560,590894,593241,604060,604058,604056,604054,593239,590892,566589,566587,549241,543462"
211569,"212059,212061"
235354,"595198"
235356,"642612"
235358,"611103"
244469,"591151"
247411,"521629,544804,607354"
247670,"347949"
247951,"473241,572272"
248305,"248307,248318"
248380,"109414,609251,609258,609263,608780"
248394,"608780"
248415,"609263"
248425,"609258"
248434,"109414"
249477,"633485"
249867,"585478"
256563,"621009"
257317,"224311"
257584,"685779"
258576,"286169,607354"
259640,"590755"
260435,"592537"
265289,"592217"
280153,"467341,590396,467993"
283760,"282057,282070"
283885,"283891"
284869,"284858"
285980,"615015,616458,642449"
286171,"286169"
287100,"613161,681446"
288825,"287514"
290349,"284650,349942"
290652,"141411,644343,644215,644175,644170,644168,644146,644144,296363,308710"
290665,"95523"
290700,"287514"
